timestamp,cpu,memory,disk
2026-04-24 01:36:08,4.2,87.3,0.7
2026-04-24 01:36:10,10.4,87.2,0.7
2026-04-24 01:36:12,6.7,87.2,0.7
2026-04-24 01:36:14,9.7,87.4,0.7
2026-04-24 01:36:16,4.3,87.2,0.7
2026-04-24 01:36:18,17.8,86.6,0.7
2026-04-24 01:36:20,10.1,86.4,0.7
2026-04-24 01:36:22,5.1,86.4,0.7
2026-04-24 01:36:24,7.1,86.4,0.7
2026-04-24 01:36:26,6.4,86.4,0.7
2026-04-24 01:36:28,3.3,86.4,0.7
2026-04-24 01:36:30,2.7,86.4,0.7
2026-04-24 01:36:32,4.8,86.4,0.7
2026-04-24 01:36:34,4.5,86.3,0.7
2026-04-24 01:36:36,50.5,86.8,0.7
2026-04-24 01:36:38,51.4,87.3,0.7
2026-04-24 01:36:40,43.6,87.9,0.7
2026-04-24 01:36:42,46.7,87.8,0.7
2026-04-24 01:36:44,6.2,87.7,0.7
2026-04-24 01:36:46,19.7,87.5,0.7
2026-04-24 01:36:48,19.3,87.7,0.7
2026-04-24 01:36:50,22.4,87.7,0.7
2026-04-24 01:36:52,24.1,87.6,0.7
2026-04-24 01:36:54,20.8,87.7,0.7
2026-04-24 01:36:56,3.7,87.6,0.7
2026-04-24 01:36:58,12.3,87.6,0.7
2026-04-24 01:37:00,14.2,87.5,0.7
2026-04-24 01:37:02,3.1,87.4,0.7
2026-04-24 01:37:04,6.0,87.3,0.7
2026-04-24 01:37:06,3.5,87.3,0.7
2026-04-24 01:37:08,2.7,87.3,0.7
2026-04-24 01:37:10,2.3,87.3,0.7
2026-04-24 01:37:12,1.9,87.3,0.7
2026-04-24 01:37:14,2.1,87.2,0.7
2026-04-24 01:37:16,3.3,87.2,0.7
2026-04-24 01:37:18,1.0,87.2,0.7
2026-04-24 01:37:20,3.3,87.2,0.7
2026-04-24 01:37:22,3.3,87.3,0.7
2026-04-24 01:37:24,10.5,87.4,0.7
2026-04-24 01:37:26,17.0,85.3,0.7
2026-04-24 01:37:28,3.8,85.0,0.7
